target_month,sales_channel,revenue_target,margin_target_pct
2026-01,E-commerce,51706.89,0.3242
2026-01,Store,74922.18,0.3179
2026-01,Marketplace,45858.12,0.3186
2026-02,E-commerce,53649.03,0.3119
2026-02,Store,53700.47,0.3006
2026-02,Marketplace,43273.2,0.2905
2026-03,E-commerce,64355.62,0.3
2026-03,Store,46722.2,0.2987
2026-03,Marketplace,61176.93,0.3151
2026-04,E-commerce,56917.35,0.3295
2026-04,Store,74003.07,0.3229
2026-04,Marketplace,67676.76,0.2991
2026-05,E-commerce,79746.45,0.3015
2026-05,Store,55184.68,0.2864
2026-05,Marketplace,55392.76,0.2998
2026-06,E-commerce,59895.71,0.306
2026-06,Store,56659.97,0.2807
2026-06,Marketplace,84272.45,0.3276
